case_id,variation_id,culprit_id,clue_id,item_location,item_name,item_description
heirloom,stolen,gardener,1,study,Footprints,"Faint dirt marks are visible across the study floor, leading toward the safe. They appear to have been partially cleaned, but not completely removed."
heirloom,stolen,gardener,2,study,The Safe,"The safe shows no signs of forced entry. It appears to have been opened normally, suggesting the person responsible had access or knew how to operate it."
heirloom,stolen,gardener,3,garden,Garden Shears,"A pair of garden shears has been set down just outside the side entrance, as if someone placed them aside before going inside."
heirloom,stolen,gardener,4,kitchen,Side Entrance Door,The side entrance door was left slightly ajar. It is usually kept closed to prevent outside debris from being brought into the house.
heirloom,stolen,gardener,5,living room ,Scattered Leaves,A few small leaves are caught near the edge of the rug just outside the door to the study. They do not match any of the plants kept inside the house.
heirloom,stolen,family_friend,1,study,The Safe,"The safe shows no signs of forced entry. It appears to have been opened normally, suggesting the person responsible knew how to access it."
heirloom,stolen,family_friend,2,study,Torn Paper,"A sheet of paper on Victor’s desk has been torn unevenly, as if a small section was removed. The remaining notes do not seem immediately important."
heirloom,stolen,family_friend,3,dining room,Crumpled Paper Scrap,"A small, crumpled piece of paper is tucked partially under a table. It looks like it was stepped on or kicked aside. A short sequence of numbers is still visible."
heirloom,stolen,family_friend,4,main entry,Coat Rack Disturbance,"One of the coats on the rack appears to have been handled recently, slightly out of place compared to the others. The surrounding area is otherwise neat."
heirloom,stolen,family_friend,5,main entry,Study Door,The study door was left slightly ajar. It is typically kept closed when not in use.
heirloom,broken,maid,1,study,Empty Space on Desk,"A cleared spot on Victor’s desk suggests something was recently kept there. The surface around it has been dusted, but the space itself shows a faint outline."
heirloom,broken,maid,2,study,The Safe,The safe remains locked and undisturbed. There are no signs it has been opened recently.
heirloom,broken,maid,3,study,Faint Impact Mark,"A small mark is visible along the edge of the desk and on the floor below, as if something struck it and fell."
heirloom,broken,maid,4,kitchen,Fragments in Trash,"In the kitchen trash there are a few small, irregular fragments that appear to be part of something finely crafted. The material looks too valuable to have been thrown away carelessly."
heirloom,broken,maid,5,main entry,Feather Duster,"A feather duster has been left in the hallway outside the study, rather than returned to its usual storage. It appears to have been set down in a hurry."
heirloom,broken,wife,1,study,Empty Space on Desk,"A cleared spot on Victor’s desk suggests something was recently kept there. The surrounding surface has been dusted, but the space itself shows a faint outline."
heirloom,broken,wife,2,study,Faint Impact Mark,"A small mark is visible along the edge of the desk and on the floor below, as if something struck it and fell."
heirloom,broken,wife,3,study,Nail Fragment,"A small, broken piece of a polished nail lies near the desk. It appears to have snapped off on impact."
heirloom,broken,wife,4,master bedroom,Opened Drawer,"One of Claire’s drawers has been left slightly open. Inside, something has been hastily tucked away beneath folded fabric."
heirloom,broken,wife,5,living room ,Laptop Charging ,A laptop is plugged into the wall charging. Some one must be home from work today 
heirloom,misplaced,wife,1,study,Empty Space on Desk,"A cleared space on Victor’s desk suggests something was recently kept there, though there are no signs it was damaged or removed in haste."
heirloom,misplaced,wife,2,study,Slightly Shifted Objects,"Several items on the desk have been subtly rearranged, as if someone moved things briefly and did not return them to their exact original positions."
heirloom,misplaced,wife,3,main entry,Out-of-Place Decoration,"A decorative item sits slightly out of place, as though it had been set down temporarily and forgotten."
heirloom,misplaced,wife,4,master bedroom,Misplaced Storage,A drawer or storage space contains items that appear to have been put away without much care. Something about the arrangement suggests it was done without much thought.
heirloom,misplaced,wife,5,living room ,A Vase ,A large vase in the living somehow rolled onto its side without breaking. It sits on the large wooden coffee table.
heirloom,misplaced,butler,1,study,The Safe,"The safe is open, but otherwise undisturbed. There are no signs of forced entry."
heirloom,misplaced,butler,2,dining room,Serving Tray,"One of the serving trays has been set down unevenly, as if it was placed in a hurry before being abandoned."
heirloom,misplaced,butler,3,kitchen,Plant Vase,"A decorative plant vase sits on the kitchen counter, out of place compared to the rest of the room. It looks like it was set down quickly rather than arranged with the other items."
heirloom,misplaced,butler,4,main entry,Door Unlocked,The front door remains unlocked which is highly unusual for this household. Rarely anyone of the family or staff enter this way. 
heirloom,misplaced,butler,5,kitchen,Note ,On the kitchen counter sits a note from the maid that reads 'I had a family emergency and had to leave for the day'
dinner,poison_correct,husband,1,living room,Victim’s Wine Glass,"The glass left near where Kessler collapsed still contains a small amount of liquid. There is a faint, unusual bitterness beneath the expected scent of the drink."
dinner,poison_correct,husband,2,main entry,Folded Note,"Kessler’s jacket has been left in the main hall. In one of the pockets is a folded note referencing a private financial matter involving Victor, written in a tone that suggests leverage rather than cooperation."
dinner,poison_correct,husband,3,kitchen,Unwashed Plate,"One of the dinner plates has been set aside and not yet cleaned. It appears normal, with no unusual residue or smell."
dinner,poison_correct,husband,4,living room,Wine Charm,The wine glass is marked with a decorative wine charm. None of the other glasses from the evening appear to have one attached.
dinner,poison_correct,husband,5,dining room,Small Glass Vial,"A small, nearly empty vial has been left near the drink setup, partially hidden behind other items. It has a faint, bitter scent."
dinner,poison_correct,chef,1,dining room,Kessler’s Plate,"Kessler’s plate has been set aside and not yet cleaned. The dish appears similar to the others, though something about it seems slightly off upon closer inspection."
dinner,poison_correct,chef,2,living room,Menu Card,"The evening’s menu features a rich Italian-style meal, with several garlic-heavy dishes served throughout the courses."
dinner,poison_correct,chef,3,kitchen,Tomato Sauce Disaster ,The tomato sauce that was made for the pasta dish exploded and has left splatters all over the entire kitchen and on the walls. Alfred is aggressively cleaning it all up at the end of the evening.
